ID_weigelt,Region,Long,Lat,Archip_weigelt,Archip,Archip_1,Archip_2,Archip_3,Archip_4,Archip_5,Archip_6,Archip_7,Island,Island_1,Area
53130,10,24.323906,39.350185,Sporades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Piperi,NA,5.12
52700,10,24.416916,37.391909,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Kythnos,NA,105.06
52442,10,24.434489,36.70416,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Milos,NA,162.36
52606,10,24.481477,37.160329,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Serifos,NA,76.22
53008,10,24.49351,38.818258,NA,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Valaxa,NA,5.12
53037,10,24.553461,38.865323,NA,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Skyros,NA,215.17
52473,10,24.558818,36.808729,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Kimolos,NA,39.06
52451,10,24.636102,36.766834,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Polyaigos,NA,19.07
52550,10,24.701654,36.971612,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisi Sifnos,NA,78.85
52732,10,24.712218,37.610864,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Gyaros,NA,18.86
52223,10,24.844308,35.230793,NA,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Kriti,Crete,8289.81
52817,10,24.848918,37.857307,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Andros,NA,387.58
52388,10,24.90147,36.627915,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Folegandros,NA,33.03
52711,10,24.914292,37.432629,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Syros,NA,87.76
52520,10,25.00247,36.962634,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Despotiko,NA,8.44
52553,10,25.054089,36.999607,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Antiparos,NA,36.89
52414,10,25.120993,36.679501,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Sikinos,NA,43.88
52742,10,25.131794,37.603989,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Tinos,NA,198.08
52590,10,25.192712,37.060165,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Paros,NA,201.62
52210,10,25.219119,35.446856,NA,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Dia,NA,12.45
52692,10,25.227849,37.404505,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Rineia,NA,14.41
52453,10,25.326532,36.721413,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Ios,NA,113.1
52324,10,25.34036,36.434556,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Thirasia,NA,10
52707,10,25.374476,37.453844,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisi Mykonos,NA,87.94
52327,10,25.435384,36.399168,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Thira,NA,79.32
52482,10,25.453735,36.840294,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Irakleia,NA,19.73
52604,10,25.483998,37.061014,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Naxos,NA,432.46
52494,10,25.521607,36.872994,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Schoinoussa,NA,9.37
52963,10,25.582606,38.572835,North Aegean Sea Islands,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Psara,NA,40.77
52513,10,25.606795,36.941353,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Koufonision,NA,6.42
52498,10,25.647177,36.889534,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Keros,NA,16.79
52190,10,25.74723,35.274016,NA,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,NA,NA,6.68
52319,10,25.782129,36.367297,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Anafi,NA,40.26
52582,10,25.813254,37.108901,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Donousa,NA,14.41
52507,10,25.900659,36.846039,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Amorgos,NA,126.13
52376,10,26.351768,36.572462,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Astypalaia,NA,100.62
52548,10,26.4578,37.004015,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Levitha,NA,10.52
52314,10,26.676539,36.344571,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Syrna,NA,8.71
52202,10,26.920845,35.39057,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Kasos,NA,69.08
52232,10,27.156411,35.595579,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Karpathos,NA,310.62
52365,10,27.168116,36.587829,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Nisyros,NA,42.04
52239,10,27.220204,35.864672,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Saria,NA,22.02
52328,10,27.36326,36.428706,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Tilos,NA,64.41
52295,10,27.570501,36.228763,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Chalki,NA,28.42
52308,10,27.705785,36.269571,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisis Alimia,NA,7.74
52374,10,27.833654,36.59268,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Symi,NA,60.05
52323,10,27.952756,36.184828,Dodecanese,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Rodos,NA,1403.68
52224,11,33.226618,35.050397,Cyprus,Cyprus,Cyprus,NA,NA,NA,NA,NA,NA,Cyprus,NA,9267.65
54521,12,39.620276,-5.44759,Zanzibar Archipelago,Zanzibar*,Zanzibar Archipelago,NA,NA,NA,NA,NA,NA,Panani,NA,26.4
54580,12,39.647471,-5.052908,Zanzibar Archipelago,Zanzibar*,Zanzibar Archipelago,NA,NA,NA,NA,NA,NA,Fundo Island,NA,9.81
54590,12,39.757749,-5.167745,Zanzibar Archipelago,Zanzibar*,Zanzibar Archipelago,NA,NA,NA,NA,NA,NA,Shadowa,NA,987.08
54579,12,39.856364,-5.08227,Zanzibar Archipelago,Zanzibar*,Zanzibar Archipelago,NA,NA,NA,NA,NA,NA,Kojani Island,NA,13.23
54294,13,43.354209,-11.662581,Mozambique Channel Islands,Comoro*,Comoro Islands,Comoros,NA,NA,NA,NA,NA,Grande Comore,NA,1021.61
54254,13,43.734357,-12.322965,Mozambique Channel Islands,Comoro*,Comoro Islands,Comoros,NA,NA,NA,NA,NA,Chissioua Bouelamiradji,Moh<e9>li,212.09
54277,13,44.436436,-12.222163,Mozambique Channel Islands,Comoro*,Comoro Islands,Comoros,NA,NA,NA,NA,NA,Ndzuwani,Anjouan,432.08
54179,13,45.143921,-12.823991,Mozambique Channel Islands,Comoro*,Comoro Islands,Comoros,NA,NA,NA,NA,NA,Mayotte,NA,371.42
54164,13,45.281105,-12.785322,Mozambique Channel Islands,Comoro*,Comoro Islands,Comoros,NA,NA,NA,NA,NA,Ilot Dzaoudzi,NA,13.98
