"species","ref.date","authority","described"
"Pachyornis australis","Rawlence, N. & Cooper, A. (2013) Journal of the Royal Society of New Zealand, 43, 100–107.","Oliver 1949",1949
"Pachyornis elephantopus","Holdaway, R.N. (2000) Science, 287, 2250–2254.","Owen 1856",1856
"Pachyornis geranoides","Holdaway, R.N. (2000) Science, 287, 2250–2254.","Owen 1848",1848
"Pachyplichas jagmi","Wilmshurst, J.M., et al. (2008) Proceedings of the National Academy of Sciences, 105, 7676–7680.","Millener 1988",1988
"Pachyplichas yaldwyni","Wilmshurst, J.M., et al. (2008) Proceedings of the National Academy of Sciences, 105, 7676–7680.","Millener 1988",1988
"Pampagyps imperator","Agnolin, F.L. et al. (2017) Contribuciones del MACN. Paleontología y Evolución de las Aves, 7, 1–16.","Agnolin et al. 2017",2017
"Pandanaris convexa","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1947",1947
"Pandanaris floridana","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Brodkorb 1975",1975
"Patiochen pau","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Pedinorhis stirpsarcana","Olson, S.L. & McKitrick, M.C. (1981) Journal of Vertebrate Paleontology, 1, 279–283.","Olson & McKitrick 1981",1981
"Pelecanus cadimurka","PaleoDB","Rich & Van Tets 1981",1981
"Phalcoboenus napieri","Adams, M.P. & Woods, R.W. (2016) Emu - Austral Ornithology, 116, 370–378.","Adams & Woods 2016",2016
"Phasianus yanshansis","XXX","Huang & Hou 1984",1984
"Phoenicopterus copei","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Shufeldt 1891",1891
"Pipilo angelensis","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Dawson 1948",1948
"Pleistovultur nevesi","Alvarenga, H., et al. (2008) AMEGHINIANA (Rev. Asoc. Paleontol. Argent.), 45, 613–618.","Alvarenga et al. 2008",2008
"Podilymbus wetmorei","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Storer 1976",1976
"Porphyrio mcnabi","Kirchman, J.J. & Steadman, D.W. (2006) Pacific Science, 60, 281–297.","Kirchman & Steadman 2006",2006
"Pseudoseisuropsis cuelloi",NA,"Claramunt & Rinderknecht 2005",2005
"Pterodroma jugabilis","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Puffinus holeae","Illera, J.C., et al. (2012) Quaternary Science Reviews, 50, 14–22.","Walker et al. 1990",1990
"Puffinus olsoni","Rando, J.C. & Alcover, J.A. (2007). Ibis, 150, 188–192.","McMinn & Jaume 1990",1990
"Puffinus spelaeus","Holdaway, R.N. & Worthy, T.H. (1994) Emu - Austral Ornithology, 94, 201–215.","Holdaway & Worthy 1994",1994
"Pulsatrix arredondoi","Orihuela, J. (2019) Ornitologia Tropical 30: 57-67","Brodkorb 1968",1968
"Pycnoptilus fordi","PaleoDB","Baird 1993",1993
"Pyelorhamphus molothroides","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1932",1932
"Pyrrhula crassa","Rando, J., et al. (2017) Zootaxa, 4282, 567.","Rando et al. 2017",2017
"Rallus adolfocaesaris","Alcover, J.A. et al. (2015) Zootaxa, 4057, 151.","Alcover et al. 2015",2015
"Rallus carvaoensis","Alcover, J.A. et al. (2015) Zootaxa, 4057, 151.","Alcover et al. 2015",2015
"Rallus cyanocavi","Steadman, D.W., et al. (2007) Proceedings of the National Academy of Sciences, 104, 19897–19902.","Steadman et al. 2013",2013
"Rallus eivissensis","Mcminn, M., et al. (2005) Ibis, 147, 706–716.","Mcminn et al. 2005",2005
"Rallus lowei","Alcover, J.A. et al. (2015) Zootaxa, 4057, 151.","Alcover et al. 2015",2015
"Rallus montivagorum","Alcover, J.A. et al. (2015) Zootaxa, 4057, 151.","Alcover et al. 2015",2015
