"Archip","sp_id","IDsps","species","commonName","grp","ext_date_min","ext_date_max","ext_date","year_last_recorded","p_records","p_threats","fossil_max","fossil_min"
"Mariana*",NA,NA,"Todiramphus cinnamominus","Guam Kingfisher","obs_date",1986,1986,1986,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Traversia lyalli","Lyall's wren","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Tribonyx hodgenorum","Hodgen's waterhen","obs_date",1600,1600,1600,NA,NA,NA,NA,NA
"Cuba*",NA,NA,"Turdus ravidus","Grand Cayman Thrush","obs_date",1916,1916,1916,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Turnagra capensis","South island Piopio","obs_date",1905,1905,1905,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Turnagra tanagra","North island Piopio","obs_date",1955,1955,1955,NA,NA,NA,NA,NA
"Saint Helena",NA,NA,"Upupa antaios","Saint Helena giant hoopoe","obs_date",1640,1640,1640,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Urile perspicillatus","Spectacled Cormorant","obs_date",1850,1850,1850,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Viridonia sagittirostris","Greater amakihi","obs_date",1901,1901,1901,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Xenicus longipes","Bush wren","obs_date",1972,1972,1972,NA,NA,NA,NA,NA
"Saint Helena",NA,NA,"Zapornia astrictocarpus","Saint Helena crake","obs_date",1502,1502,1502,NA,NA,NA,NA,NA
"Pohnpei*",NA,NA,"Zapornia monasa","Kosrae Crake","obs_date",1875,1875,1875,NA,NA,NA,NA,NA
"Society*",NA,NA,"Zapornia nigra","Miller's rail","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Zapornia palmeri","Laysan crake","obs_date",1944,1944,1944,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Zapornia sandwichensis","Hawaiian crake","obs_date",1884,1884,1884,NA,NA,NA,NA,NA
"Revillagigedos*",NA,NA,"Zenaida graysoni","Socorro dove","obs_date",1972,1972,1972,NA,NA,NA,NA,NA
"Bonin*",NA,NA,"Zoothera terrestris","Bonin Thrush","obs_date",1889,1889,1889,NA,NA,NA,NA,NA
"Mariana*",NA,NA,"Zosterops conspicillatus","Bridled White-eye","obs_date",1983,1983,1983,NA,NA,NA,NA,NA
"Seychelles",NA,NA,"Zosterops semiflavus","Marianne white-eye","obs_date",1892,1892,1892,NA,NA,NA,NA,NA
"Lord Howe*",NA,NA,"Zosterops strenuus","Robust White-eye","obs_date",1928,1928,1928,NA,NA,NA,NA,NA
"Neotropic",NA,NA,"Cichlocolaptes mazarbarnetti","Cryptic Treehunter","obs_date",2007,2007,2007,NA,NA,NA,NA,NA
"Neotropic",NA,NA,"Cyanopsitta spixii","Spix's Macaw","obs_date",2000,2000,2000,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Melamprosops phaeosoma","Poo-uli","obs_date",2004,2004,2004,NA,NA,NA,NA,NA
"Neotropic",NA,NA,"Philydor novaesi","Alagoas Foliage-gleaner","obs_date",2011,2011,2011,NA,NA,NA,NA,NA
"Society*",NA,NA,"Acrocephalus longirostris","Moorea Reed-warbler","pex",NA,NA,NA,1981,0.902799351,0.218,NA,NA
"New Caledonia",NA,NA,"Aegotheles savesi","New Caledonian Owlet-nightjar","pex",NA,NA,NA,1998,0.487805736,0.84,NA,NA
"Neotropic",NA,NA,"Amazilia alfaroana","Guanacaste Hummingbird","pex",NA,NA,NA,1895,0.012498547,0.66925,NA,NA
"Neotropic",NA,NA,"Anodorhynchus glaucus","Glaucous Macaw","pex",NA,NA,NA,2001,0.425364829,0.127,NA,NA
"Pohnpei*",NA,NA,"Aplonis pelzelni","Pohnpei Starling","pex",NA,NA,NA,1995,0.497556434,0.5,NA,NA
"Neotropic",NA,NA,"Atlapetes blancae","Antioquia Brush-finch","pex",NA,NA,NA,2018,0.529424717,0.6975,NA,NA
"New Zealand",NA,NA,"Callaeas cinereus","South Island Kokako","pex",NA,NA,NA,2007,0.897994103,0.220375,NA,NA
"Neotropic",NA,NA,"Calyptura cristata","Kinglet Calyptura","pex",NA,NA,NA,1996,0.748602698,0.5875,NA,NA
"Nearctic",NA,NA,"Campephilus imperialis","Imperial Woodpecker","pex",NA,NA,NA,1956,0.332913563,0.15425,NA,NA
"Nearctic",NA,NA,"Campephilus principalis","Ivory-billed Woodpecker","pex",NA,NA,NA,1987,0.812341831,0.26,NA,NA
"New Caledonia",NA,NA,"Charmosyna diadema","New Caledonian Lorikeet","pex",NA,NA,NA,1913,0.269020448,0.262,NA,NA
"Neotropic",NA,NA,"Claravis geoffroyi","Purple-winged Ground-dove","pex",NA,NA,NA,2007,0.901155289,0.4475,NA,NA
"Indo-Malay",NA,NA,"Cyornis ruckii","Rück's Blue-flycatcher","pex",NA,NA,NA,1918,0.599170803,0.49075,NA,NA
"Neotropic",NA,NA,"Eriocnemis godini","Turquoise‐throated Puffleg","pex",NA,NA,NA,1850,0.175313843,0.49075,NA,NA
"Indo-Malay",NA,NA,"Eurochelidon sirintarae","White-eyed River Martin","pex",NA,NA,NA,1978,0.80610308,0.75,NA,NA
"New Caledonia",NA,NA,"Eurostopodus exul","New Caledonian Nightjar","pex",NA,NA,NA,1939,0.13661733,0.321875,NA,NA
"Philippines*",NA,NA,"Gallicolumba menagei","Sulu Bleeding-heart","pex",NA,NA,NA,1891,0.340348413,0.67,NA,NA
"New Caledonia",NA,NA,"Gallirallus lafresnayanus","New Caledonian Rail","pex",NA,NA,NA,1890,0.505922689,0.505,NA,NA
"Neotropic",NA,NA,"Glaucidium mooreorum","Pernambuco Pygmy‐owl","pex",NA,NA,NA,2001,0.317144046,0.118,NA,NA
"Hawaii",NA,NA,"Hemignathus affinis","Maui Nukupuu","pex",NA,NA,NA,1896,0.252050033,0.059725,NA,NA
"Hawaii",NA,NA,"Hemignathus hanapepe","Kauai Nukupuu","pex",NA,NA,NA,1899,0.240810648,0.059725,NA,NA
"Guadalupe*",NA,NA,"Hydrobates macrodactylus","Guadalupe Storm‐petrel","pex",NA,NA,NA,1912,0.116830827,0.220375,NA,NA
"Windward*",NA,NA,"Leucopeza semperi","Semper's Warbler","pex",NA,NA,NA,1961,0.790890623,0.3695,NA,NA
"Hawaii",NA,NA,"Loxops ochraceus","Maui Akepa","pex",NA,NA,NA,1988,0.06645509,0.1045,NA,NA
"Hawaii",NA,NA,"Myadestes lanaiensis","Olomao","pex",NA,NA,NA,1994,0.611724555,0.03485,NA,NA
"Nearctic",NA,NA,"Numenius borealis","Eskimo Curlew","pex",NA,NA,NA,1963,0.858469798,0.49975,NA,NA
"Palearctic",NA,NA,"Ophrysia superciliosa","Himalayan Quail","pex",NA,NA,NA,1876,0.800440125,0.645625,NA,NA
"Sulawesi",NA,NA,"Otus siaoensis","Siau Scops-owl","pex",NA,NA,NA,1866,0.540967284,0.6275,NA,NA
"Samoan*",NA,NA,"Pareudiastes pacificus","Samoan Moorhen","pex",NA,NA,NA,1873,0.509453261,0.4,NA,NA
"Solomon*",NA,NA,"Pareudiastes silvestris","Makira Moorhen","pex",NA,NA,NA,1953,0.848905791,0.515,NA,NA
"Hawaii",NA,NA,"Paroreomyza maculata","Oahu Alauahio","pex",NA,NA,NA,1985,0.357469361,0.03485,NA,NA
"Marquesas",NA,NA,"Pomarea mira","Ua Pou Monarch","pex",NA,NA,NA,2010,0.139788827,0.19,NA,NA
"Hawaii",NA,NA,"Psittirostra psittacea","Ou","pex",NA,NA,NA,1989,0.326319321,0.059725,NA,NA
"Cuba*",NA,NA,"Pterodroma caribbaea","Jamaican Petrel","pex",NA,NA,NA,1879,0.330264946,0.4665,NA,NA
"Philippines*",NA,NA,"Ptilinopus arcanus","Negros Fruit-dove","pex",NA,NA,NA,1953,0.864763901,0.955,NA,NA
"Neotropic",NA,NA,"Pyrrhura subandina","Sinu Parakeet","pex",NA,NA,NA,1949,0.169983671,0.19975,NA,NA
"Indo-Malay",NA,NA,"Rhinoptilus bitorquatus","Jerdon's Courser","pex",NA,NA,NA,2009,0.889492615,0.7875,NA,NA
"Indo-Malay",NA,NA,"Rhodonessa caryophyllacea","Pink-headed Duck","pex",NA,NA,NA,1949,0.799115998,0.412,NA,NA
"Cuba*",NA,NA,"Siphonorhis americana","Jamaican Poorwill","pex",NA,NA,NA,1860,0.200718969,0.10275,NA,NA
"Afrotropic",NA,NA,"Sylvietta chapini","Lendu Crombec","pex",NA,NA,NA,1942,0.807891353,0.75,NA,NA
"Palearctic",NA,NA,"Tadorna cristata","Crested Shelduck","pex",NA,NA,NA,1964,0.674779292,0.440625,NA,NA
"Yucatan*",NA,NA,"Toxostoma guttatum","Cozumel Thrasher","pex",NA,NA,NA,2004,0.598622383,0.19675,NA,NA
"New Caledonia",NA,NA,"Turnix novaecaledoniae","New Caledonian Buttonquail","pex",NA,NA,NA,1911,0.014351166,0.29125,NA,NA
"Indo-Malay",NA,NA,"Vanellus macropterus","Javan Lapwing","pex",NA,NA,NA,1939,0.464645675,0.418,NA,NA
"Nearctic",NA,NA,"Vermivora bachmanii","Bachman's Warbler","pex",NA,NA,NA,1988,0.453536568,0.15175,NA,NA
"Norfolk*",NA,NA,"Zosterops albogularis","White-chested White-eye","pex",NA,NA,NA,2000,0.609684429,0.08335,NA,NA
"Palearctic",NA,NA,"Aegypius prepyrenaicus","-","cont",NA,NA,NA,NA,NA,NA,"50900","43700"
"Nearctic",NA,NA,"Aiolornis incredibilis","Incredible Tetraorn","cont",NA,NA,NA,NA,NA,NA,"13340","11660"
"Neotropic",NA,NA,"Amplibuteo hibbardi","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Anabernicula gracilenta","-","cont",NA,NA,NA,NA,NA,NA,"13460","10720"
"Neotropic",NA,NA,"Anas amotape","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Anas itchtucknee","-","cont",NA,NA,NA,NA,NA,NA,"75000","11000"
"Neotropic",NA,NA,"Anas sanctahelenae","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Anas schneideri","-","cont",NA,NA,NA,NA,NA,NA,"10750","10250"
"Neotropic",NA,NA,"Anas talarae","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Anhinga beckeri","-","cont",NA,NA,NA,NA,NA,NA,"75000","11000"
"Nearctic",NA,NA,"Asio priscus","-","cont",NA,NA,NA,NA,NA,NA,"37000","10400"
"Nearctic",NA,NA,"Belonopterus downsi","-","cont",NA,NA,NA,NA,NA,NA,"40000","10000"
"Neotropic",NA,NA,"Belonopterus edmondi","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Branta dickeyi","-","cont",NA,NA,NA,NA,NA,NA,"40500","35500"
"Nearctic",NA,NA,"Breagyps clarki","-","cont",NA,NA,NA,NA,NA,NA,"13340","11660"
"Nearctic",NA,NA,"Bubo sinclairi","-","cont",NA,NA,NA,NA,NA,NA,"75000","11000"
"Neotropic",NA,NA,"Buteo hoffstetteri","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Indo-Malay",NA,NA,"Buteo sanya","-","cont",NA,NA,NA,NA,NA,NA,"11000","10000"
"Nearctic",NA,NA,"Buteogallus daggetti","-","cont",NA,NA,NA,NA,NA,NA,"40000","10000"
"Nearctic",NA,NA,"Buteogallus fragilis","-","cont",NA,NA,NA,NA,NA,NA,"12200","11130"
"Nearctic",NA,NA,"Buteogallus milleri","-","cont",NA,NA,NA,NA,NA,NA,"75000","11000"
"Neotropic",NA,NA,"Buteogallus terrestris","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Neotropic",NA,NA,"Caprimulgus piurensis","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Neotropic",NA,NA,"Caracara major","-","cont",NA,NA,NA,NA,NA,NA,"40100","35500"
"Neotropic",NA,NA,"Caracara seymouri","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Neotropic",NA,NA,"Caracara sp./BuenosAires","-","cont",NA,NA,NA,NA,NA,NA,"41100","35500"
"Australasia",NA,NA,"Casuarius lydekkeri","Pygmy cassowary","cont",NA,NA,NA,NA,NA,NA,"38000",NA
"Nearctic",NA,NA,"Cathartornis gracilis","-","cont",NA,NA,NA,NA,NA,NA,"40000","10000"
"Australasia",NA,NA,"Centropus colossus","-","cont",NA,NA,NA,NA,NA,NA,"124000","15000"
"Nearctic",NA,NA,"Chendytes lawi","Law's diving-goose","cont",NA,NA,NA,NA,NA,NA,"450","250"
"Neotropic",NA,NA,"Ciconia lydekkeri","-","cont",NA,NA,NA,NA,NA,NA,"30000","10000"
"Nearctic",NA,NA,"Cistothorus brevis","-","cont",NA,NA,NA,NA,NA,NA,"1250000","75000"
"Palearctic",NA,NA,"Corvus fangshannus","-","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Corvus neomexicanus","-","cont",NA,NA,NA,NA,NA,NA,"26890","23430"
"Nearctic",NA,NA,"Cremaster tytthus","-","cont",NA,NA,NA,NA,NA,NA,"1250000","75000"
"Palearctic",NA,NA,"Cygnus equitum","Dwarf swan","cont",NA,NA,NA,NA,NA,NA,"135000","114000"
"Palearctic",NA,NA,"Cygnus falconeri","Maltese giant swan","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Dendragapus gilli","-","cont",NA,NA,NA,NA,NA,NA,"75000","11000"
"Neotropic",NA,NA,"Eudocimus peruvianus","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Euphagus magnirostris","-","cont",NA,NA,NA,NA,NA,NA,"10750","10250"
"Nearctic",NA,NA,"Fratercula dowi","-","cont",NA,NA,NA,NA,NA,NA,"11985","11795"
"Australasia",NA,NA,"Genyornis newtoni","-","cont",NA,NA,NA,NA,NA,NA,"26650","25350"
"Neotropic",NA,NA,"Geronogyps reliquus","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Grus pagei","-","cont",NA,NA,NA,NA,NA,NA,"12200","11130"
"Nearctic",NA,NA,"Gymnogyps amplus","-","cont",NA,NA,NA,NA,NA,NA,"9000",NA
"Neotropic",NA,NA,"Gymnogyps howardae","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Palearctic",NA,NA,"Gyps melitensis","Maltese vulture","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Henocitta brodkorbii","-","cont",NA,NA,NA,NA,NA,NA,"1250000","75000"
"Nearctic",NA,NA,"Meleagris californicus","-","cont",NA,NA,NA,NA,NA,NA,"11050","10330"
"Nearctic",NA,NA,"Meleagris crassipes","-","cont",NA,NA,NA,NA,NA,NA,"12310","12050"
"Neotropic",NA,NA,"Micropalama chapmani","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Neotropic",NA,NA,"Milvago brodkorbi","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Morus reyana","-","cont",NA,NA,NA,NA,NA,NA,"75000","11000"
"Neotropic",NA,NA,"Nannonetta invisitata","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Neotropic",NA,NA,"Neochen pugil","-","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Neogyps errans","-","cont",NA,NA,NA,NA,NA,NA,"12200","11130"
"Nearctic",NA,NA,"Neophrontops americanus","-","cont",NA,NA,NA,NA,NA,NA,"12180","11130"
"Nearctic",NA,NA,"Neortyx peninsularis","-","cont",NA,NA,NA,NA,NA,NA,"1250000","75000"
"Nearctic",NA,NA,"Numenius victima","-","cont",NA,NA,NA,NA,NA,NA,"28000","26000"
"Neotropic",NA,NA,"Nuntius solitarius","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Australasia",NA,NA,"Ocyplanus proeses","-","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Neotropic",NA,NA,"Oreopholus orcesi","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Australasia",NA,NA,"Orthonyx hypsilophus","-","cont",NA,NA,NA,NA,NA,NA,"124000","15000"
"Australasia",NA,NA,"Orthonyx wakefieldi","-","cont",NA,NA,NA,NA,NA,NA,"40000","22980"
"Neotropic",NA,NA,"Pampagyps imperator","-","cont",NA,NA,NA,NA,NA,NA,"32780","31120"
"Nearctic",NA,NA,"Pandanaris convexa","-","cont",NA,NA,NA,NA,NA,NA,"40000","10000"
"Nearctic",NA,NA,"Pandanaris floridana","-","cont",NA,NA,NA,NA,NA,NA,"1250000","75000"
"Australasia",NA,NA,"Pelecanus cadimurka","-","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Palearctic",NA,NA,"Phasianus yanshansis","-","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Phoenicopterus copei","-","cont",NA,NA,NA,NA,NA,NA,"75000","11000"
"Neotropic",NA,NA,"Phorusrhacidae sp./Uruguay","-","cont",NA,NA,NA,NA,NA,NA,"17720","17520"
"Nearctic",NA,NA,"Pipilo angelensis","-","cont",NA,NA,NA,NA,NA,NA,"40000","10000"
"Neotropic",NA,NA,"Pleistovultur nevesi","-","cont",NA,NA,NA,NA,NA,NA,"12510","9990"
"Nearctic",NA,NA,"Podilymbus wetmorei","-","cont",NA,NA,NA,NA,NA,NA,"75000","11000"
"Neotropic",NA,NA,"Pseudoseisuropsis cuelloi","-","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Neotropic",NA,NA,"Psilopterus sp./Uruguay","-","cont",NA,NA,NA,NA,NA,NA,"102340","89740"
"Australasia",NA,NA,"Pycnoptilus fordi","-","cont",NA,NA,NA,NA,NA,NA,"40000","22980"
"Nearctic",NA,NA,"Pyelorhamphus molothroides","-","cont",NA,NA,NA,NA,NA,NA,"31250","11330"
"Nearctic",NA,NA,"Rallus natator","-","cont",NA,NA,NA,NA,NA,NA,"28000","26000"
"Neotropic",NA,NA,"Sarcoramphus fisheri","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Spizaetus grinnelli","-","cont",NA,NA,NA,NA,NA,NA,"12200","11130"
"Nearctic",NA,NA,"Spizaetus willetti","-","cont",NA,NA,NA,NA,NA,NA,"13460","10720"
"Neotropic",NA,NA,"Steganopus graui","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Strix brea","-","cont",NA,NA,NA,NA,NA,NA,"12200","11130"
"Palearctic",NA,NA,"Struthio anderssoni","-","cont",NA,NA,NA,NA,NA,NA,"8900",NA
"Neotropic",NA,NA,"Syrigma sanctimartini","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Tachycineta speleodytes","-","cont",NA,NA,NA,NA,NA,NA,"1250000","75000"
"Nearctic",NA,NA,"Teratornis merriami","-","cont",NA,NA,NA,NA,NA,NA,"11000","10000"
"Nearctic",NA,NA,"Teratornis woodburnensis","-","cont",NA,NA,NA,NA,NA,NA,"12000",NA
"Palearctic",NA,NA,"Tetrastes daliannsis","-","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Neotropic",NA,NA,"Theristicus wetmorei","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Neotropic",NA,NA,"Thinocorus koepckeae","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Neotropic",NA,NA,"Tringa ameghini","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Nearctic",NA,NA,"Tympanuchus ceres","-","cont",NA,NA,NA,NA,NA,NA,"1250000","75000"
"Neotropic",NA,NA,"Viator picis","-","cont",NA,NA,NA,NA,NA,NA,"13900",NA
"Neotropic",NA,NA,"Wingegyps cartellei","-","cont",NA,NA,NA,NA,NA,NA,"12320","12080"
"Australasia",NA,NA,"Xenorhynchopsis minor","-","cont",NA,NA,NA,NA,NA,NA,NA,NA
"Australasia",NA,NA,"Xenorhynchopsis tibialis","-","cont",NA,NA,NA,NA,NA,NA,NA,NA
