"Archip","sp_id","IDsps","species","commonName","grp","ext_date_min","ext_date_max","ext_date","year_last_recorded","p_records","p_threats","fossil_max","fossil_min"
"Madagascar",9,"x473","Mullerornis modestus","elephant bird 'Mullerornis'","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Vanuatu",2,"x370","Mwalau walterlinii","Lini's megapode","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Tonga*",12,"x417","Myiagra sp./Tonga","Tongan Flycatcher","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Fiji*",7,"x358","Natunaornis gigoura","giant flightless pigeon","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Windward*",2,"x059","Neochen barbadiana","Barbados goose","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",6,"x104","Nesotrochis debooyi","De Booy's rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",15,"x105","Nesotrochis picapicensis","Cuban cave-rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",7,"x106","Nesotrochis steganinos","Haitian cave-rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Caledonia",9,"x294","Ninox sp./NewCaledonia","New Caledonian Boobook","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Tonga*",13,"x338","Nycticorax kalavikai","Niue night-heron","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Tonga*",14,"x367","Nycticorax sp./Eua","Eua night-heron","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",16,"x097","Ornimegalonyx acevedoi","Cuban giant owl (4)","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",17,"x095","Ornimegalonyx gigas","Cuban giant owl (2)","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",18,"x094","Ornimegalonyx minor","Cuban giant owl (1)","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",19,"x096","Ornimegalonyx oteroi","Cuban giant owl (3)","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",30,"x165","Orthiospiza howarthi","Highland finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",20,"x058","Oscaravis olsoni","Cuban teratorn","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",2,"x023","Otus frutuosoi","S„o Miguel scops owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Canaries*",7,"x024","Otus mauli","Madeiran scops owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",21,"x221","Oxyura vantetsi","New Zealand stiff-tailed duck","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",22,"x237","Pachyornis australis","Crested moa","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",23,"x236","Pachyornis elephantopus","Heavy-footed moa","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",24,"x235","Pachyornis geranoides","Mantell's moa","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",25,"x248","Pachyplichas jagmi","North island Stout-legged wren","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",26,"x247","Pachyplichas yaldwyni","South island Stout-legged wren","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Solomon*",4,"x421","Pareudiastes sp./Buka","Buka gallinule","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",31,"x130","Patiochen pau","Small-billed moa-nalo","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",8,"x109","Pedinorhis stirpsarcana","Puerto Rican Bunting","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Falkland*",1,"x057","Phalcoboenus napieri","-","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Society*",5,"x306","Porphyrio mcnabi","Huahine swamphen","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cook*",5,"x348","Porphyrio sp./Mangaia","Mangaia swamphen/woodhen","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Bismarck*",5,"x383","Porphyrio sp./NewIreland","Giant swamphen","fossil",NA,NA,NA,NA,NA,NA,NA,NA
