"x","y","Elev","Temp","Prec","varT","varP","all_spp"
7226608,3640101,697.15775732569,25.1,1895.92403733811,27.219695384991,108.964141414434,430
7339608,3640101,3179.71427790991,24.8510132033112,1899.5164273652,22.9969170558325,74.4722221018994,508
7452608,3640101,4720.88792030157,22.6821267918791,3244.26612665827,22.2287348697244,62.5464257792944,503
7565608,3640101,4897.00893715598,22.8009909904324,3183.72658940816,22.1408402248949,71.8138825966763,484
7678608,3640101,4917.0388156859,22.4934355679437,2419.1998780454,21.6470110979977,99.1607650006267,428
7791608,3640101,2498.90426312653,8.49867787214339,1632.33032608728,23.0861111643441,92.1192726602172,266
7904608,3640101,1684.92755871137,2.85682006371668,427.5816318892,30.1063905038777,103.551420458348,184
8017608,3640101,2057.14211685873,9.04278733088888,989.667943753653,27.6739710663429,91.3029595437069,243
8130608,3640101,2561.58310355392,12.1081823125859,1261.04158140328,27.2361610960954,98.3456086795561,256
8243608,3640101,1472.02319732699,6.96982320180361,575.563562512104,29.8247749154058,102.565504461604,262
8356608,3640101,3747.92174049668,19.7918590957534,2611.99135866335,23.4544125537446,86.999353953037,448
8469608,3640101,2890.75792898048,22.4327238717155,3521.89402747009,21.8459094798719,85.2255128364,522
8582608,3640101,4069.70795938332,22.9930130302461,3963.6841869939,21.8473440262169,79.1190963886993,549
8695608,3640101,3225.98838154091,17.7403810175907,2785.73240842722,23.0183403125361,82.4879971059026,502
8808608,3640101,2628.62045156224,15.980018518918,2202.7390843715,23.6418047351855,79.0555416984608,447
8921608,3640101,1685.42025171104,11.6523898700716,1041.00814906316,24.2063690172312,82.6625413054566,333
9034608,3640101,1806.04754153239,13.8261364093919,1010.86828367223,25.5539929796178,94.2750082626872,326
9147608,3640101,1811.26375121019,18.016185427945,1371.69553004794,24.5738356094689,84.0517608328248,350
9260608,3640101,2336.44150963532,17.0722783757627,1420.27546040608,24.867286115652,75.6817529854765,331
9373608,3640101,1261.48339142875,18.426740094391,1158.54919425873,26.2287098132965,63.8127756159483,271
9486608,3640101,1033.74510063087,18.4670088295845,1152.33899940505,26.4059079369134,60.9806320015358,246
9599608,3640101,525.926736454993,16.7875471499932,1303.7007594209,26.9303078790482,57,229
9712608,3640101,968.884064915963,16.8568446155059,1402.42530178432,27.6012393389734,53.9960855847421,222
9825608,3640101,668.209466942773,17.5617212432993,1476.76456563497,29.3495177323094,51.7830358663957,202
9938608,3640101,602.879115128735,17.431966080377,1596.91010599999,29.3339479484029,45.8749709934493,191
10051608,3640101,525.407909757922,17.9288711131455,1580.57663620845,30.0572191408509,42.0374094173084,175
10164608,3640101,536.090420220241,17.924222118699,1742.68180257459,30.5343931259932,42.7221997769747,172
10277608,3640101,683.229993673259,18.4449098514768,1689.34717530682,30.5726552540803,44.6134460478523,179
10390608,3640101,209.764360158247,18.4997421145605,1686.65482061216,30.7392510698804,40.2454007737287,182
10503608,3640101,1158.16655285787,18.5402932002917,2178.17672254214,26.1453815044926,53.0543411755949,217
10616608,3640101,836.024707829572,18.1648184264093,2131.7611932622,27.0815470898162,47.0030905686498,220
10729608,3640101,957.840134032705,18.4090334914275,2079.86147952262,26.8974881334489,46.1252486992336,209
10842608,3640101,577.361959048611,18.4721332069303,1873.80410562508,25.2084771459621,39,178
-1248392,3527101,61.0436916531222,20.6,33,16.7567475713526,93.007874040126,37
-1022392,3527101,257.492256253452,21.6289844379338,74.0505677872751,17.282479825328,79.7622996311242,55
-909392,3527101,304.460164083131,21.9875075793074,83.3811307999792,23.8611906429678,69.1057629616458,45
-796392,3527101,88.5656432938395,23.664796536969,62.6400344927446,31.5155195730381,56.4193174694984,33
-683392,3527101,144.392717028161,25.4026758226046,38.3219212703116,39.1575948967112,52.0020035659949,25
-570392,3527101,134.68909697615,25.7770365464686,26.0834972817049,41.4139569944393,48,23
-457392,3527101,95.868900119885,25.9437495183199,18.9389971525275,42.3006739965673,49.9972624981021,16
-344392,3527101,151.263330767758,25.8992744527725,12.781177546782,42.0163688912318,58,13
-231392,3527101,115.282317136107,26.0327412728319,12.9052887430609,41.1921399188326,58.7154570689025,15
-118392,3527101,125.369326302071,25.9881960819584,15.9389971525275,39.971723204528,49.3506778737482,18
-5392,3527101,225.603377475352,26.5636389940504,15.6951885060677,38.2921720321402,47.5489486010868,21
107608,3527101,332.449282047738,26.0632899622321,23.1114404040755,38.2548396831746,45,21
220608,3527101,336.853386232551,26.0850845542243,23.9889843753031,38.3635618279023,41.3781904599234,20
333608,3527101,419.208773470577,25.4571694049875,31.7655023394012,38.2336741961257,47,20
