"Archip","Elev","Temp","Prec","varT","varP"
"Madagascar",957.7463744,22.44188034,1915.97698,17.01143311,75.35660854
"Madagascar",1459.283691,23.51633896,2710.523455,13.26066446,45
"Madagascar",440.50064133,25.91955878,963.8629065,19.55914559,109.4147813
"Madagascar",673.316166,25.93419228,1186.381803,19.53857509,109.3885064
"Madagascar",1139.5710166,22.4021745,2248.953781,15.3953359,64.02458642
"Madagascar",826.4923053,23.19967476,2624.883069,13.29592778,44.01733461
"Madagascar",707.0340214,24.79783319,766.5820914,19.32531204,100.747408
"Madagascar",718.9047123,25.17391032,814.439166,21.04929912,102.39646
"Madagascar",782.4127284,24.88882105,954.1021124,18.77024195,97.75446604
"Madagascar",1679.90889048,23.49858386,2460.929764,14.82582483,46.77813368
"Madagascar",768.6569491,25.13581407,775.2900356,21.84481426,97.84687257
"Madagascar",869.9601529,23.83015615,1152.849882,18.07609415,86.52231845
"Madagascar",998.5076998,23.36506196,2599.169849,15.28918347,41
"Madagascar",367.1841595,24.72956283,772.9679978,20.63861237,87.63902697
"Madagascar",977.5925807,24.1,1142.228824,16.57938985,63.76233696
"Madagascar",1410.393474,23.2,2842.135697,15.91200898,40.2271573
"Madagascar",286.2353794,24.7,574.2112502,14.98170508,58.24677675
"Madagascar",691.1441271,24.44513306,1202.37204,15.92734159,38.50671842
"Maldives*",0,27.5,2435,6.3,22
"Maldives*",0,27.5,2375.715862,6.2,22.28413846
"Maldives*",0,27.5,2249.241034,6.3,25
"Maldives*",0,27.6,2128.654717,6.5,28
"Maldives*",0,27.6,2066.164356,6.6,30
"Maldives*",0,27.7,1962.703408,6.9,34
"Maldives*",0,27.7,1942,6.9,35
"Maldives*",0,27.7,1911,6.9,36
"Maldives*",0,27.7,1902.701169,7,37
"Maldives*",0,27.6,1852,7.1,39
"Maldives*",0,27.4,1788.548444,7.2,43
"Maldives*",0,27.4,1697,7.3,47
"Maldives*",0,27.33834873,1720,7.36165127,49
"Maldives*",0,27.3,1693.447374,7.4,49
"Maldives*",0,27.3,1628.899335,8.6,63
"Maluku*",680.0409844,26.9,2302.873086,8.118154396,23
"Maluku*",1362.603879,26.87077604,2440.09203,8.728099409,26.85486131
"Maluku*",785.8036522,26.78316559,3498.965784,7.504510788,15.72086619
"Maluku*",1103.51428,27,4012.292195,7.44247805,21.55204558
"Mariana*",49.48236865,27.3,2398,6.97057376,47
"Mariana*",11.48170212,26.8757162,2049.093272,7.150431904,51
"Mariana*",41.52587207,27.09645947,2401.489123,6.917567279,47
"Mariana*",0,26.8,1963.523298,7.2,51
"Mariana*",0,26.8,1936.643631,7.644917319,49.32329829
"Mariana*",0,26.2,1822.969413,8.1,47.21717646
"Mariana*",0,26.27223959,1868.743225,8.447219407,44
"Mariana*",0,24.44043224,1874.404814,8.606135019,44.12270038
"Mariana*",0,26.2,1586.95554,9.247124206,43
"Mariana*",0,25.78865116,1585.964651,9.248581395,44
"Mariana*",0,25.81882336,1517.2212,9.9,43
"Marquesas",158.2002129,26.6,1576.395698,6.9,20.45640618
"Marquesas",1.682126465,26.6,1389.726891,6.9,21.46297256
"Marquesas",372.4123905,26.6,1500.33405,6.9,28.82904589
"Marquesas",2.373891302,26.6,1355.631703,6.9,27
"Marquesas",95.19636829,26.6,1294.249782,6.9,31.62762227
"Marquesas",0,26.6,1182.580782,6.9,31.55131773
"Marquesas",0,26.6,1196,6.9,32
"Marquesas",0,26.6,1197.572392,6.9,31.32505018
"Marshall*",0,27.4,3377.509311,5.340994072,17.00734994
"Marshall*",0,27.4,3254.280741,5.3,17
"Moneron*",28.73144083,4.755474183,961.5199465,32.44452582,30.01108675
"Nauru*",0,28.07642849,1868.21955,6.4,33
"Nauru*",0,27.8,2059.841409,6.5,36
"New Caledonia",47.86400669,23.3,1795.920546,13.1,38
"New Caledonia",664.0171634,23.12467672,2110.183319,12.9064097,33.99518319
"Norfolk*",1.696678798,19.4332235,1246.937016,11.8,20
"Palau*",0,27.58508245,3585.346369,7.801329702,21
"Palau*",45.33032102,27.54368193,3639.810556,7.751408982,22
"Palau*",40.01673933,27.54742562,3545.050375,7.7,24.22564649
"Palau*",6.809477293,27.3,3056.36973,7.4,31
"Philippines*",1119.637956,26.89696806,3748.137261,12.23971439,37.24930781
"Philippines*",1662.21988583,27.18798758,3818.550634,11.50369761,44.55312193
"Philippines*",1820.298036684,27.37042436,3802.629513,11.245301,38.88940775
"Philippines*",915.3209089,26.9736153,3493.434012,12.41197908,37.17684367
"Philippines*",995.178796683,27.5,3338.271203,11.76324554,41.50436164
"Philippines*",600.5619661,27.68930609,3513.502233,11.73765255,58.81885389
